num_targets,target_fitness_cost,recomb_rate,shared_cas9,baseline_cleavage_rate,saturation_factor,target_cut_rate,drive_cut_rate,drive_r1_rate,drive_fitness_cost,drive_dominance,target_r1_rate,target_dominance,avg_max_load,avg_time_to_maximum_genetic_load,recovery_marker,avg_rate_genetic_load_fell_below_marker,avg_time_to_genetic_load_below_marker,drive_loss_rate,avg_time_to_drive_loss,drive_fixed_rate,avg_time_to_drive_fixation,disrupted_lost_rate,avg_time_to_disrupted_lost,disrupted_fixed_rate,avg_time_to_disrupted_fixation,simulation_timed_out_rate,avg_ending_genetic_load,avg_total_load,theoretical_potential_load,fraction_of_max_load_attained
4,0.4,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.41492845,11,0.2,1,20,0.8,279.625,0.2,32.75,0,-1,0,-1,1,0.020059,23.42985620600003,0.88336,0.4697161406448107
5,0.4,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.47588465,11,0.2,1,21.4,0.9,315.8888888888889,0.1,21,0,-1,0,-1,1,0.010057,21.76630882899997,0.930016,0.511695121374256
6,0.4,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.5300628500000002,10.95,0.2,1,22.9,0.8,294.9375,0.2,32,0,-1,0,-1,1,0.0200588,25.827192463500012,0.9580096,0.5532959690591829
7,0.4,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.57963675,11,0.2,1,24,0.85,303.05882352941177,0.15,19.333333333333332,0,-1,0,-1,1,0.01509859999999999,24.004991379999986,0.97480576,0.5946176908105263
8,0.4,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.62243645,11.05,0.2,1,25.15,1,291.45,0,-1,0,-1,0,-1,1,1.32e-4,19.376021283499973,0.984883456,0.6319899539463886
9,0.4,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.65991155,11.2,0.2,1,26.2,0.9,285.6666666666667,0.1,29,0,-1,0,-1,1,0.01010639999999999,23.249633551,0.9909300736,0.6659516827484849
10,0.4,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.69421825,11.6,0.2,1,27.1,0.9,294.27777777777777,0.1,37.5,0,-1,0,-1,1,0.0101214,24.842430244999996,0.99455804416,0.6980168267467327
1,0.45,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.1990843,10.1,0.2,0.35,12,1,300.85,0,-1,0.3,395.8333333333333,0,-1,0.7,1.35e-5,14.489477915000007,0.5049999999999999,0.3942263366336634
2,0.45,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.2866278,10.05,0.2,1,16,0.85,298.1764705882353,0.15,28,0.25,449.2,0,-1,0.75,0.01500675,20.62832406600002,0.7277499999999999,0.3938547578151838
3,0.45,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.36398395000000006,10.2,0.2,1,18,0.85,301.05882352941177,0.15,30.666666666666668,0.1,444.5,0,-1,0.9,0.01502249999999999,21.01669463350004,0.8502624999999999,0.42808420928830815
4,0.45,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.4349768,10.85,0.2,1,19.9,0.75,301.2,0.25,24.2,0,-1,0,-1,1,0.02504005,25.79434618050004,0.917644375,0.4740145658278568
5,0.45,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.49771779999999993,10.95,0.2,1,21,0.95,292.63157894736844,0.05,41,0.05,497,0,-1,0.95,0.00505625,19.087448877000032,0.95470440625,0.521331835007439
6,0.45,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.5546352999999999,11,0.2,1,22.3,0.9,296.5,0.1,26,0,-1,0,-1,1,0.0100835,21.56681902950003,0.9750874234375,0.5688057159477355
7,0.45,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.6040637500000001,11,0.2,1,23.4,0.95,301.10526315789474,0.05,29,0,-1,0,-1,1,0.0051071,20.665130520500036,0.986298082890625,0.6124555653901513
8,0.45,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.6466184,11,0.2,1,24.45,0.9,290,0.1,38,0,-1,0,-1,1,0.0100916,23.32969616150005,0.9924639455898437,0.6515283531188633
9,0.45,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.6825384500000001,11.2,0.2,1,25.65,0.8,299.125,0.2,26.75,0,-1,0,-1,1,0.02011679999999999,27.77679894550003,0.995855170074414,0.6853792303443063
10,0.45,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.7169739,11.6,0.2,1,26.55,0.95,290.1578947368421,0.05,29,0,-1,0,-1,1,0.00511545,22.56352724250005,0.9977203435409278,0.7186120886895486
1,0.5,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.20598605,10,0.2,1,12.25,0.85,316.47058823529414,0.15,22.666666666666668,0.35,377.1428571428572,0,-1,0.65,0.015015,19.029930375000063,0.55,0.3745200909090909
2,0.5,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.29911135000000005,10.05,0.2,1,15.95,0.9,293.6111111111111,0.1,42.5,0.1,397,0,-1,0.9,0.010035,18.64390018250004,0.775,0.3859501290322581
3,0.5,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.37968615,10.1,0.2,1,17.95,0.9,300.44444444444446,0.1,39.5,0.05,493,0,-1,0.95,0.01002724999999999,19.526303235000075,0.8875,0.42781538028169014
4,0.5,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.4533886999999999,10.55,0.2,1,19.45,0.95,282.6842105263158,0.05,46,0.1,463,0,-1,0.9,0.00502724999999999,18.109815654000062,0.94375,0.4804118675496688
5,0.5,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.5179889000000001,10.9,0.2,1,20.85,0.85,301.5882352941176,0.15,22.333333333333332,0.15,460,0,-1,0.85,0.01505975,22.72058878200008,0.971875,0.5329789324758843
6,0.5,0.5,0,0.5,0,0.5,1,0.001,0.1,0.5,0.3333333333,0,0.5755734000000001,11,0.2,1,21.95,0.95,295.8421052631579,0.05,21,0,-1,0,-1,1,0.00505499999999999,20.12369338700008,0.9859375,0.5837828462757528
