num_target_loci,target_fitness_cost,recomb_rate,shared_cas9?,baseline_cleavage_rate,saturation_factor,target_cleavage_rate,drive_cleavage_rate,drive_r1_rate,drive_fitness_cost,drive_dominance,target_r1_rate,target_dominance,recovery_marker,avg_minimum_fitness,avg_time_to_minimum_fitness,avg_time_to_fitness_recovery,avg_ending_fitness,avg_ending_drive_rate,avg_ending_disrupted_rate,rate_drive_lost_disrupted_lost,rate_drive_lost_disrupted_fixed,rate_drive_fixed_disrupted_lost,rate_drive_fixed_disrupted_fixed,rate_simulation_timed_out,num_replicates
7,0.6,0.5,0,1,0.5,0.3779644730092272,1,0.001,0.1,0.5,0.01,0,0.99,0.057130265,16.4,108.85,0.964997,0.35,2.97857205e-4,0.4,0,0.15,0,0.5,20
7,0.5,0.5,0,1,0.5,0.3779644730092272,1,0.001,0.1,0.5,0.01,0,0.99,0.06952998000000002,17,163.1,0.99499,0.05,5.3357118e-4,0.4,0,0,0,0.6,20
7,0.4,0.5,0,1,0.5,0.3779644730092272,1,0.001,0.1,0.5,0.01,0,0.99,0.09174888,17.1,160.55,0.989984,0.1,9.9107115e-4,0.15,0,0.05,0,0.8,20
7,0.3,0.5,0,1,0.5,0.3779644730092272,1,0.001,0.1,0.5,0.01,0,0.99,0.13751485,17.95,110.1,0.96498275,0.35,0.00158321425,0.1,0,0,0,0.9,20
7,0.2,0.5,0,1,0.5,0.3779644730092272,1,0.001,0.1,0.5,0.01,0,0.99,0.23409045,19,170.2,0.9949560000000002,0.05,0.002814286,0,0,0,0,1,20
7,0.1,0.5,0,1,0.5,0.3779644730092272,1,0.001,0.1,0.5,0.01,0,0.99,0.4508405000000001,20.7,152.9,0.9798966000000002,0.2,0.0085478575,0,0,0,0,1,20
8,1,0.5,0,1,0.5,0.35355339059327373,1,0.001,0.1,0.5,0.01,0,0.99,0.0343425,16.15,82.15,0.955,0.45,2.03125e-5,0.45,0,0.45,0,0.1,20
8,0.9,0.5,0,1,0.5,0.35355339059327373,1,0.001,0.1,0.5,0.01,0,0.99,0.03726745,16.35,120.7,0.9849649,0.15,2.125e-4,0.6,0,0.1,0,0.3,20
8,0.8,0.5,0,1,0.5,0.35355339059327373,1,0.001,0.1,0.5,0.01,0,0.99,0.03837469500000001,16.45,122.4,0.979996,0.2,3.90625e-5,0.65,0,0.2,0,0.15,20
8,0.7,0.5,0,1,0.5,0.35355339059327373,1,0.001,0.1,0.5,0.01,0,0.99,0.04181720999999999,16.7,94.85,0.9649965,0.35,2.6562499999999e-4,0.3,0,0.25,0,0.45,20
8,0.6,0.5,0,1,0.5,0.35355339059327373,1,0.001,0.1,0.5,0.01,0,0.99,0.0477103,16.85,134.7,0.984976,0.15,4.903125e-4,0.5,0,0,0,0.5,20
8,0.5,0.5,0,1,0.5,0.35355339059327373,1,0.001,0.1,0.5,0.01,0,0.99,0.05728973,17.3,144.45,0.9849825,0.15,5.09375e-4,0.3,0,0.15,0,0.55,20
8,0.4,0.5,0,1,0.5,0.35355339059327373,1,0.001,0.1,0.5,0.01,0,0.99,0.07398272,17.9,134.55,0.9749822,0.25,0.00112593749999999,0.1,0,0.05,0,0.85,20
8,0.3,0.5,0,1,0.5,0.35355339059327373,1,0.001,0.1,0.5,0.01,0,0.99,0.11132110000000002,18.55,138.5,0.9799660999999998,0.2,0.0013903125,0.05,0,0,0,0.95,20
8,0.2,0.5,0,1,0.5,0.35355339059327373,1,0.001,0.1,0.5,0.01,0,0.99,0.19896684999999997,19.45,165.8,0.9899356,0.1,0.00334781249999999,0,0,0,0,1,20
8,0.1,0.5,0,1,0.5,0.35355339059327373,1,0.001,0.1,0.5,0.01,0,0.99,0.41002795,21.45,157.65,0.9798831,0.2,0.00885656749999999,0,0,0,0,1,20
9,1,0.5,0,1,0.5,0.3333333333333333,1,0.001,0.1,0.5,0.01,0,0.99,0.02918625,16.45,90.65,0.97,0.3,6.61111e-5,0.45,0,0.25,0,0.3,20
9,0.9,0.5,0,1,0.5,0.3333333333333333,1,0.001,0.1,0.5,0.01,0,0.99,0.03048695999999999,16.55,115.5,0.98,0.2,2.6388885e-5,0.7,0,0.2,0,0.1,20
9,0.8,0.5,0,1,0.5,0.3333333333333333,1,0.001,0.1,0.5,0.01,0,0.99,0.032340815,16.7,120.2,0.984996,0.15,1.0138884999999e-4,0.65,0,0.15,0,0.2,20
9,0.7,0.5,0,1,0.5,0.3333333333333333,1,0.001,0.1,0.5,0.01,0,0.99,0.035678485,16.95,110.35,0.96999685,0.3,1.80277813e-4,0.5,0,0.2,0,0.3,20
9,0.6,0.5,0,1,0.5,0.3333333333333333,1,0.001,0.1,0.5,0.01,0,0.99,0.03997137999999999,17.1,116,0.9699589,0.3,7.1138893499999e-4,0.05,0,0.15,0,0.8,20
